,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,yearcorrect
6663,5,0,2015,7.8,876000.0,1077,2448,494,53,245000000,2069521700,1446,138.0,2015
7244,5,0,2018,8.4,897000.0,160,708,2107,53,321000000,2048359754,1508,149.0,2018
7480,4,2,2019,6.9,222000.0,1400,1840,633,53,260000000,1670727580,2176,118.0,2019
6653,5,0,2015,7.0,593000.0,497,3429,412,53,150000000,1670516444,2142,124.0,2015
6043,5,0,2012,8.0,1300000.0,1461,2224,2107,53,220000000,1518815515,1508,143.0,2012
6646,5,0,2015,7.1,370000.0,1139,672,2564,53,190000000,1515341399,2142,137.0,2015
7494,4,2,2019,6.8,148000.0,419,1871,1439,53,150000000,1450026933,2175,103.0,2019
6644,5,0,2015,7.3,777000.0,1461,2224,2107,53,250000000,1402809540,1508,141.0,2015
7247,5,0,2018,7.3,661000.0,2346,3647,363,53,200000000,1347597973,1508,134.0,2018
5845,5,1,2011,8.1,790000.0,654,3889,521,52,125000000,1342321665,2179,130.0,2011
7075,5,0,2017,7.0,581000.0,2182,3382,494,53,317000000,1332698830,2176,152.0,2017
7271,5,0,2018,6.2,277000.0,1073,1043,412,53,170000000,1310466296,2142,128.0,2018
6262,4,2,2013,7.4,585000.0,419,1871,1439,53,150000000,1281508100,2175,102.0,2013
7072,4,7,2017,7.1,283000.0,243,3838,724,53,160000000,1264434525,1495,129.0,2017
7281,4,2,2018,7.6,263000.0,295,469,478,53,200000000,1244639527,2176,118.0,2018
7055,5,0,2017,6.6,214000.0,803,1369,2564,8,250000000,1236005118,2142,136.0,2017
6244,5,0,2013,7.1,779000.0,2430,1121,2107,53,200000000,1214811252,1508,130.0,2013
6688,4,2,2015,6.4,218000.0,1575,511,2211,53,74000000,1159444662,1232,91.0,2015
6846,5,0,2016,7.8,694000.0,160,708,400,53,250000000,1153337496,1508,147.0,2016
7250,5,0,2018,6.9,404000.0,1139,946,1064,53,160000000,1148485886,2179,143.0,2018
4245,5,0,2003,8.9,1700000.0,2096,1672,685,33,94000000,1146030912,1606,201.0,2003
7458,5,0,2019,7.5,359000.0,1408,670,2492,53,160000000,1131927996,686,129.0,2019
7456,5,0,2019,6.8,478000.0,145,244,298,53,160000000,1128462972,2176,123.0,2019
5878,5,0,2011,6.2,390000.0,1805,1183,2306,53,195000000,1123794079,1697,154.0,2011
6059,5,0,2012,7.7,642000.0,2365,3003,513,52,200000000,1108569499,1538,143.0,2012
6494,5,0,2014,5.6,302000.0,1805,1183,1647,53,210000000,1104054072,1697,165.0,2014
2448,1,2,1994,8.5,970000.0,2307,1630,1690,53,45000000,1083720877,2176,88.0,1994
6047,5,0,2012,8.4,1600000.0,469,2177,417,52,250000000,1081142612,2179,164.0,2012
7463,5,0,2019,6.5,394000.0,1077,680,494,53,275000000,1078232589,2176,141.0,2019
7450,6,5,2019,8.4,1000000.0,2644,4078,1181,53,55000000,1074427370,2179,122.0,2019
7488,1,2,2019,7.7,217000.0,1453,2073,2489,53,200000000,1073394593,1739,100.0,2019
5685,1,2,2010,8.2,776000.0,1608,2073,2489,53,200000000,1066970811,2176,103.0,2010
4852,5,0,2006,7.3,668000.0,955,3982,1242,53,225000000,1066179747,2176,151.0,2006
6869,5,0,2016,7.8,572000.0,875,683,764,53,200000000,1056057720,1446,133.0,2016
7481,4,1,2019,6.9,239000.0,989,1996,2603,52,183000000,1050693953,2176,128.0,2019
5860,5,0,2011,6.6,492000.0,2237,3982,1242,53,250000000,1045713802,2176,136.0,2011
7140,4,2,2017,6.3,119000.0,1575,722,2359,53,80000000,1034800131,1232,89.0,2017
2245,5,0,1993,8.1,894000.0,2540,2815,2193,53,63000000,1033928303,2142,127.0,1993
